序号,时间,0#AD转换器电压[X轴](V),0#AD转换器电压[Y轴](V),1#振镜温度[X轴](℃),1#振镜温度[Y轴](℃),0#AGC电流[X轴](mA),0#AGC电流[Y轴](mA),0#DSP核心电压[X轴](V),0#DSP核心电压[Y轴](V),0#DSP端口电压[X轴](V),0#DSP端口电压[Y轴](V),0#模拟电压[X轴](V),0#模拟电压[Y轴](V),0#伺服温度[X轴](℃),0#伺服温度[Y轴](℃),0#输出电流[X轴](mA),0#输出电流[Y轴](mA),0#振镜温度[X轴](℃),0#振镜温度[Y轴](℃),0#功率[X轴](W),0#功率[Y轴](W),1#DSP核心电压[X轴](V),1#DSP核心电压[Y轴](V),1#DSP端口电压[X轴](V),1#DSP端口电压[Y轴](V),1#功率[X轴](W),1#功率[Y轴](W),1#伺服温度[X轴](℃),1#伺服温度[Y轴](℃),1#模拟电压[X轴](V),1#模拟电压[Y轴](V),1#AD转换器电压[X轴](V),1#AD转换器电压[Y轴](V),1#输出电流[X轴](mA),1#输出电流[Y轴](mA),1#AGC电流[X轴](mA),1#AGC电流[Y轴](mA)
21376,2025/2/25 11:32:21,5.05,5.05,43.9,43.9,56,48,1.9,1.91,3.31,3.31,9.06,9.07,41.3,44.0,-241,-188,43.9,43.9,6.76,6.21,1.89,1.92,3.28,3.35,6.33,6.45,43.7,42.9,9.0,9.19,5.02,5.06,-172,13,51,51
21377,2025/2/25 11:32:22,5.05,5.05,43.9,43.9,56,48,1.9,1.91,3.31,3.31,9.06,9.07,41.3,44.0,191,21,44.0,43.9,6.77,6.19,1.88,1.92,3.28,3.35,6.34,6.48,43.7,42.9,9.01,9.16,5.02,5.06,622,-18,50,51
21378,2025/2/25 11:32:22,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.3,44.0,-198,-200,43.9,44.0,6.81,6.18,1.89,1.92,3.28,3.35,6.36,6.46,43.7,42.9,9.0,9.19,5.02,5.07,22,17,50,51
21379,2025/2/25 11:32:23,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.32,3.31,9.06,9.07,41.3,44.0,166,349,43.9,44.0,6.75,6.17,1.88,1.92,3.28,3.35,6.34,6.49,43.8,42.9,9.0,9.17,5.02,5.06,11,-44,50,51
21380,2025/2/25 11:32:23,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.06,41.3,44.0,239,-5,43.9,44.0,6.74,6.2,1.89,1.93,3.28,3.35,6.33,6.44,43.8,42.9,9.01,9.16,5.02,5.06,142,-17,51,51
21381,2025/2/25 11:32:24,5.05,5.05,43.9,43.9,56,47,1.9,1.91,3.31,3.31,9.06,9.07,41.3,44.0,3,-33,43.9,44.0,6.77,6.18,1.89,1.92,3.28,3.35,6.35,6.47,43.9,42.9,9.0,9.17,5.02,5.08,-2160,75,50,51
21382,2025/2/25 11:32:25,5.05,5.05,43.9,43.9,56,48,1.9,1.91,3.31,3.31,9.06,9.06,41.3,44.0,-201,-239,43.9,44.0,6.78,6.2,1.88,1.92,3.28,3.35,6.38,6.46,44.0,42.9,9.01,9.16,5.01,5.07,34,14,51,51
21383,2025/2/25 11:32:25,5.05,5.04,43.9,43.9,56,48,1.9,1.91,3.31,3.31,9.06,9.07,41.3,44.0,-143,71,43.9,44.0,6.76,6.2,1.89,1.92,3.27,3.35,6.34,6.48,44.2,42.9,9.01,9.16,5.01,5.07,431,37,50,51
21384,2025/2/25 11:32:26,5.05,5.05,43.9,43.9,56,48,1.9,1.91,3.31,3.31,9.06,9.07,41.3,44.0,-207,-155,44.0,44.0,6.75,6.19,1.89,1.92,3.28,3.35,6.32,6.46,44.3,42.9,9.01,9.17,5.02,5.06,50,38,50,51
21385,2025/2/25 11:32:26,5.05,5.05,43.9,43.9,56,48,1.9,1.91,3.31,3.31,9.06,9.06,41.3,44.0,-325,-156,43.9,43.9,6.8,6.22,1.89,1.92,3.28,3.35,6.31,6.45,44.4,42.9,9.0,9.17,5.02,5.07,-3653,42,50,51
21386,2025/2/25 11:32:27,5.05,5.05,44.0,43.9,56,48,1.91,1.91,3.31,3.31,9.06,9.06,41.4,44.0,7541,-23,43.9,43.9,6.76,6.19,1.89,1.92,3.28,3.35,6.33,6.47,44.6,42.9,9.01,9.17,5.02,5.06,4270,76,50,51
21387,2025/2/25 11:32:27,5.05,5.05,44.0,43.9,56,48,1.9,1.91,3.31,3.31,9.06,9.07,41.4,44.0,-928,147,43.9,44.0,6.76,6.19,1.88,1.92,3.28,3.35,6.34,6.47,44.7,42.9,9.03,9.16,5.02,5.07,7,29,50,51
